ItemID,PROD_CD,UnitPerCase,CaseWeight,UnitWeight,CaseDimensionL,CaseDimensionW,CaseDimensionH
DF4111,DF4113/BLU,200,33,0.165,22,14,17
DF4111,DF4113/GRN,200,33,0.165,22,14,17
DF4111,DF4113/PNK,200,33,0.165,22,14,17
DF4111,DF4113/PUR,200,33,0.165,22,14,17
DF4111,DF4113/RED,200,33,0.165,22,14,17
DF4114,DF4114/BLK,50,23,0.46,27,17,17
DF4114,DF4114/BLU,50,23,0.46,27,17,17
DF4114,DF4114/GRN,50,23,0.46,27,17,17
DF4114,DF4114/PNK,50,23,0.46,27,17,17
DF4114,DF4114/YEL,50,23,0.46,27,17,17
DF4115,DF4115/BLK,50,12,0.24,19,17,12
DF4115,DF4115/BLU,50,12,0.24,19,17,12
DF4115,DF4115/GRN,50,12,0.24,19,17,12
DF4115,DF4115/PNK,50,12,0.24,19,17,12
DF4115,DF4115/YEL,50,12,0.24,19,17,12
DF4116,DF4116/BLK,50,23,0.46,23,14,14
DF4116,DF4116/BLU,50,23,0.46,23,14,14
DF4116,DF4116/RED,50,23,0.46,23,14,14
DF4117,DF4117/BLK,50,25,0,0,0,0
DF4117,DF4117/BLU,50,25,0,0,0,0
DF4117,DF4117/GRN,50,25,0,0,0,0
DF4117,DF4117/RED,50,25,0,0,0,0
DF4117,DF4118/NVY,20,24,0,0,0,0
DF4117,DF4119/NVY,25,25,0,0,0,0
DF4117,DF4119/RED,25,25,0,0,0,0
DF4120,DF4120/BLU,100,30,0.3,17,16,17
DF4120,DF4120/GRY,100,30,0.3,17,16,17
DF4120,DF4121/BLK,25,20,0.8,19,12,14
DF4120,DF4121/GRY,25,20,0.8,19,12,14
DF4120,DF4121/RBL,25,20,0.8,19,12,14
DF4122,DF4122/BLK,200,38,0.19,20,14,16
DF4122,DF4122/NVY,200,38,0.19,20,14,16
DF4122,DF4122/ORG,200,38,0.19,20,14,16
DF4122,DF4122/PUR,200,38,0.19,20,14,16
DF4122,DF4122/RBL,200,38,0.19,20,14,16
DF4122,DF4122/RED,200,38,0.19,20,14,16
DF4122,DF4122/YEL,200,38,0.19,20,14,16
DF4123,DF4123,100,13,0.13,17,12,17
DF4123,DF4123/BLU,100,13,0.13,17,12,17
DF4123,DF4123/GRN,100,13,0.13,17,12,17
DF4123,DF4123/NAT,100,13,0.13,17,12,17
DF4123,DF4124/GRN,100,21,0.21,19,8,16
DF4123,DF4125/RED,100,23,0.23,15,19,16
DF4123,DF4128/GRN,200,26,0.13,20,12,16
DF4123,DF4129/ORG,200,27,0.14,19,13,16
